"Электропроводка, розетки и выключатели в ванной комнате.","Согласно ПУЭ ванная комната относится к помещениям с повышенной опасностью",9f7ede5d5b334fd13a9f708245c9f45d.txt,,668,"Советы мастеров",588cfe068335b6b23b0c70889769ff4c.jpg,111,"2013-02-05 12:02:48","розетки ванная комната|выключатели ванная комната"
"Днепропетровский областной совет экономит электроэнергию","В Днепропетровской области внедряются новейшие технологии энергосбережения


",873574aaab1d6de55e16c9218dea59ed.txt,,205,"Новости Украины",b51d29997b5064a781e2f578bb108e9d.jpg,112,"2013-02-05 17:33:41","новейшие технологии энергосбережения|днепропетровский областной совет"
"Лампы для грузовых автомобилей OSRAM TRUCKSTAR ","Лампы для грузовых автомобилей OSRAM TRUCKSTAR – больше света, выше безопасность.",0b5e3e718b91dc5e68f8580aefa21565.txt,,371,Освещение,0e88db6794d58c0515e200872d069cae.jpg,113,"2013-02-06 00:07:02","Лампы грузовых автомобилей|лампа OSRAM TRUCKSTAR"
"Конструкция точечных светильников и спотов","Разный размер ламп и их особенности, в частности, влияют на конструкцию точечных светильников и спотов.",b2cd769a66f9a7c323eb328995c3dcb0.txt,,1081,"Освещение;Советы мастеров",9584db0779ce029658e87394e0281100.jpg,114,"2013-02-06 00:12:12","конструкция точечных светильников|конструкция спотов"
"«Мегабанк» реализует программу кредитования энергосбережения","Харьковский «Мегабанк» внедрил программу кредитования энергосберегающих проектов.",df98b1865ed9055d8b02acf9ad44d377.txt,,204,"Новости Украины",2bc407be8090a1f26429bed8203dfca5.jpg,115,"2013-02-06 11:12:48","Кредитование проектов|кредит мегабанк"
"KyivBuild 2013 покажет много нового в Международном Выставочном Центре ","20-22 февраля в Международном Выставочном Центре украинской столицы пройдет  17-я Международная професcиональная строительная выставка.",542e4a0968f55098cb5f72a5c264b03e.txt,,317,"Новости Украины",a8c9261642f0fad3a806008016cd25dd.jpg,116,"2013-02-07 15:18:19","KyivBuild 2013|международный выставочный центр Киев|строительная выставка Киев"
"Противотуманные фары OSRAM ALLSEASON ","Противотуманные фары OSRAM ALLSEASON — помощь в любую непогоду.",8b26f2636863f5215c4ab4eeb004c3fe.txt,,802,Освещение,74a18f781cee5aa0cc43b0b1737e9b5c.jpg,117,"2013-02-07 16:56:25","противотуманные фары"
"Как в киевских школах детей энергосбережению учат","В столице Украины запустили проект «Энергоэффективная школа». Теперь детей на факультативных занятиях обучают, как экономить энергию, сообщает пресс-служба ",3e98c4fa8a27bbdfc5978977f3b05674.txt,,178,Энергосбережение,01841d32a989b2e57caaecfeb8939f6c.jpg,118,"2013-02-08 15:53:20","Энергоэффективная школа|Основы теплоснабжения и теплосбережения"
"В центре Харькова начнут строить новую подстанцию «Набережная».","В этом году в Харькове возле Госпрома планируют начать строительство новой электроподстанции «Набережная».",e3123fedccf7ec0ed00bb67630052c42.txt,,278,"Новости Украины",948e8deb1ddd9a65e71f0674a5c6be7f.jpg,119,"2013-02-08 18:44:42","Новая подстанция «Набережная»|«Харьковоблэнерго» новости"
"Классические электрические лампы накаливания","Классическая лампа накаливания – электрический источник света. Изобретение, без которого на сегодняшний день трудно было бы представить существование всего ",3a1190d058c46414d12083259f3db6f4.txt,,217,Освещение,1c9ededeed939b74e3b2ee12e7aceda6.jpg,120,"2013-02-08 19:15:59","электрические лампы накаливания"
"Лампа HALOPIN","Лампа HALOPIN получила признание у производителей осветительных приборов по всему миру. ",c190b414f98256fb0e47f838608c7f32.txt,,216,Освещение,e9aa90980c41d167af817c80544fb5f9.jpg,121,"2013-02-08 19:23:06","Лампа HALOPIN"
"Замена электропроводки в квартире после ремонта","Чем нам грозит замена электропроводки в квартире после ремонта?",20f98009a4976d5f658ef07fd4d90cbe.txt,,365,"Советы мастеров",882c25fdcdf6e770cb101b7c3afe1a70.jpg,122,"2013-02-10 21:36:35","замена электропроводки квартиры|перенос розеток"
"«Энергофорум» в «Радмире» обещает «Ух, ивент!»","С 19 по 22 февраля в выставочном центре «Радмир Экспохолл» в Харькове пройдет специализированная выставка «Энергофорум-Харьков – 2013». ",77c92e36be0d0154aed49c789939ebb5.txt,,206,"Новости Украины",6fb616300bde8a79cef7841a98642a2a.jpg,123,"2013-02-11 15:36:48","Радмир Экспохолл|Энергофорум-Харьков – 2013"
"Галогенные лампы для авто: правила выбора","В настоящее время галогенные автолампы основными источниками головного освещения в автомобилях. ",4d0afe006c266eba9acc68c19ab91e3d.txt,,762,Освещение,4174735aa6c766329a3b29d09507c8e2.jpg,124,"2013-02-11 18:29:14","галогенные лампы авто|автолампы галогенные"
"Лампы OSRAM NIGHT BREAKER: отзывы и характеристики","Для более безопасной и комфортной езды галогеновые лампы OSRAM NIGHT BREAKER выдают «нагора» на 90% больше света и на 35 метров увеличен световой конус. ",93d8158ba2f8aaf4c60c9af96a3276ad.txt,,811,Освещение,4b7c55b4e53e05a88dfa827a77cefeaf.jpg,125,"2013-02-12 12:40:41","лампы osram night breaker|галогеновые лампы OSRAM NIGHT BREAKER"
"Украинские АЭС недовольны тарифами","Профсоюз атомщиков просит НКРЭ пересмотреть тариф на отпуск электроэнергии украинскими АЭС. ",d365abd9750cb568be66e369b6e09375.txt,,269,"Новости Украины",aaec61eb14fb19477a6fa43aec883f24.jpg,126,"2013-02-12 18:34:15","Украинские АЭС|новости энергоатома"
"Новейшие светодиоды от компании Sharp ","Sharp объявил о создании нового типа LED-устройства для освещения. ",7566ef010f31018f4b4c0875a8cef6fb.txt,,247,"Новые технологии",bedcc8b5e69ebe2d66ac7c431dff684a.jpg,127,"2013-02-12 18:37:21","светильники LED светодиодные|новейшие светодиоды"
"Компания Philips уходит в хоккей","Для начала компания Philips выступит техническим экспертом по оценке состояния освещенности 27 ледовых арен Высшей хоккейной лиге. ",88bf04e3ca9ceb0e009b8b9d842ac625.txt,,263,"Новости мира",6ecb0fe2cc17ff7b3d95d0d2b498dca8.jpg,128,"2013-02-13 12:38:16","Компания Philips|Высшая хоккейная лига"
"Маркировка кабелей и проводов","Типы кабелей и проводов для бытовой электропроводки",e99a8c14dfeca77b3629f81963fc1c0a.txt,,391,"Советы мастеров;Своими руками",4a044477e3fb8a78c42c13f98fa0dfed.jpg,129,"2013-02-13 16:19:26","Маркировка кабеля расшифровка|маркировка кабелей проводов"
"Полки с подсветкой: тонкости выбора","Полки с подсветкой – один из трендов в современном оформлении интерьеров. Как правильно выбрать такую полку?",80ccbbd80d6e93dea17e1eefa1364572.txt,,4622,Дизайн,f5a17d9ea7321e689adc2506948a4ff1.jpg,130,"2013-02-13 17:00:18","подсветка полок"
"Алюминий или медь – какие провода лучше?","Разобравшись в маркировке кабелей, перейдем к продукции, которая наиболее популярна при прокладке проводки в квартирах и домах. ",8ceab8e41eb74cd4ebf04ab658b8fcc2.txt,,807,"Советы мастеров;Своими руками",8ba30d67ed639fa417f172ff34633060.jpg,131,"2013-02-14 00:40:34","какие провода лучше|выбор провода"
"Зеркала с внутренней подсветкой: выбираем самое лучшее!","Знакомьтесь – зеркала с внутренней подсветкой!",9ca597c0fe2a26c1d2fa36e31beea6bd.txt,,2388,Дизайн,e481a21c85cda259a2276670bde61f1f.jpg,132,"2013-02-14 01:06:30","внутренняя подсветка зеркал|зеркало ванную подсветкой"
"Электроподстанция «Набережная» в Харькове: подробности","В центре Харькова построят электроподстанцию за 180 миллионов: продолжение ",78746d88f4aca1f40019280160a39666.txt,,275,"Новости Украины",b834d16e8782aaef9c165cafb4861f33.jpg,133,"2013-02-14 13:06:59","Харьковоблэнерго|электроподстанция «Набережная»"
"Типы кабелей электрических","Какие типы кабелей электрических сегодня представлены на рынке? Ответ на этот вопрос содержится в статье справочника",203a443c7a2dd449b59e96d38f33d250.txt,,499,"Советы мастеров;Своими руками",839f77a731089adf308de29d20bc1b8c.jpg,134,"2013-02-15 15:05:36","типы кабелей|кабель электрический"
"Повышение тарифов в Болгарии","Болгарского министра экономики забросали снежками за повышение цен",dc81ea847f1ca6125052b9fc84fa6dae.txt,,270,"Новости мира",af566a66b00e901c47d2b3b195fca4e2.jpg,135,"2013-02-15 18:36:07","повышение тарифов электроэнергия|болгария тарифы"
"Альтернативная энергетика Украины будет развиваться","НКРЭ хочет стимулировать альтернативную энергетику Украины",6a8adfed267ea7fb87023112d75c7088.txt,,236,"Альтернативная энергетика",f119d439a22b1750fba666f4ccab76cf.jpg,136,"2013-02-15 18:38:02","Зеленые тарифы|альтернативная энергетика Украина"
"Подсветка для картин","Подсветка для картин: информация, которая поможет сделать правильный выбор",972308a73fd04d07314e90b6af399b07.txt,,1009,Дизайн,f52a514fd87b9226d6924e043fc306bf.jpg,137,"2013-02-18 00:48:59","подсветка картин"
"Типы проводов, которые сегодня представлены на рынке","Типы проводов используемые для бытовой электропроводки.",910f1d2ce21c767aaa8b68f19d4186d4.txt,,597,"Советы мастеров;Своими руками",94ce4f9cca3b8b18941babe49c88935d.jpg,138,"2013-02-18 01:00:50","Типы проводов"
"CISWIND-2013: ветроэнергетики всего мира съедутся в Киев","28-29 марта в Киеве, в НСК «Олимпийский» пройдет Международная Конференция и выставка «Ветроэнергетика в СНГ и Восточной Европе».",e3d845ad835b373c7f2c74c44c650b1d.txt,,315,"Альтернативная энергетика",f9df4c7149d60da83a54a242f8766bf3.jpg,139,"2013-02-18 12:32:52",ветроэнергетика|CISWIND-2013
"Сколько экономят энергосберегающие лампы?","Как подсчитать экономический эффект энергосберегающей лампы и вредны ли энергосберегающие лампы?",32ed51f498f6476da7f1dc60dfd65b8a.txt,,422,Энергосбережение;Освещение,c04ec4f63a4aed82f6acffb2d8d2170c.jpeg,140,"2013-02-19 01:08:04","лучшие энергосберегающие лампы|вредны энергосберегающие лампы"
"Кабмин разрешил приватизацию «Харьковоблэнерго» и еще пяти энергокомпаний","Правительство Украины приняло распоряжение «О приватизации объектов топливно-энергетического комплекса». ",adc3e4d178bbc17982f9d0d9efa69c02.txt,,247,"Новости Украины",9a805a9867ad126b0b201aed68a8fa03.jpg,141,"2013-02-19 11:24:36","Новости Харьковоблэнерго|приватизация энергокомпаний"
"Как сделать подсветку для кровати.","Кровать со светодиодной подсветкой своими руками: инструкция по изготовлению",1ab98a883b915c11b2755454dcba91c7.txt,,4964,"Освещение;Своими руками;Интересные идеи;Советы мастеров",7cce5ea5e68f4dd2085d026ff18ea9dd.jpg,142,"2013-02-19 16:00:02","подсветка кровати|кровать светодиодной подсветкой"
"«Оптоган» готов выпускать диоды повышенной светосилы ","В лабораториях компании «Оптоган» достигнут показатель в 160 лм/Вт в номинальном режиме для одноваттного светодиода. ",23ea6d31c1c19017b011cd08deb27a8a.txt,,267,"Новые технологии",211bebb70a4a28c0f1ca94807ebaf479.png,143,"2013-02-20 12:02:08","диоды повышенной светосилы|светодиоды Оптоган"
"Тарифы в Болгарии и отставка правительства","Из-за цен на электроэнергию всё правительство Болгарии подало в отставку",3295e8d6da50930843d9a2145cc40005.txt,,242,"Новости мира",f7e0d10df547619c791b93bdd7e04a55.jpg,144,"2013-02-20 12:04:50","Болгария тарифы"
"Ниши с подсветкой: в чем их прелесть?","Ниша с подсветкой - это одновременно и яркий элемент дизайна интерьера, и довольно функциональное пространство. ",8e3a09f3033816944161c032cfeb95d5.txt,,3360,Освещение;Дизайн,3778014b90c687f8eb68da7226d3dddf.jpg,145,"2013-02-20 22:40:15","ниша с подсветкой|светодиодная подсветка ниш"
"Освещение детской комнаты: идеи и варианты","Существуют несколько правил, которые следует соблюдать, создавая освещение детской комнаты",2cff4cc88ae94a1a3f027c6cad37ecc0.txt,,760,Освещение;Дизайн,f6989498b08f9f5243660fb45969eaf2.jpg,146,"2013-02-21 11:27:12","Освещение детской комнаты"
"SiLED: наносветодиоды из кремния немецко-канадской разработки","Новейшие светодиоды - как говорится, дешево и сердито",2494718e5f4331540a4513cc41f3a2ed.txt,,255,"Новые технологии",ace5271d4d420507689ba89a0dcc042d.png,147,"2013-02-21 11:54:03","Наносветодиоды|новейшие светодиоды"
"В Харькове в Радмир-Экспохолле представили «Ух какой ивент»","21 февраля в конференц-зале «Радмир-Экспохолла», где в эти дни проходит «Энергофорум», состоялась презентация лучших проектов, поданных на конкурс «Ух, иве
",665d8911bf8275bd2535f89d8a5eb749.txt,,284,"Новости Украины",f358f8885d7350a2e208179ab0b8a6ba.jpg,148,"2013-02-22 14:29:12","Энергофорум харьков|радмир-экспохолл харьков"
"Как выбрать настольную лампу: важные правила","Сегодня на рынке осветительных приборов представлен огромный ассортимент различных видов настольных ламп. Как выбрать настольную лампу? ",1653134922a2063995d5fc57ee8c2dc6.txt,,1068,Освещение;Дизайн,f69500b0db81376e2d99a7fb50bdfcc0.jpg,149,"2013-02-24 23:08:38","выбрать настольную лампу|виды настольных ламп"
"Выбор кондиционера: на что обратить внимание","Основные функции кондиционера, которые важно учитывать при покупке",ce4eb7721d75565670c3931c16df6011.txt,,273,"Советы мастеров",c5bf70e29fecfc8cde7c495f883c0447.jpg,150,"2013-02-24 23:26:40","функции кондиционера|выбор кондиционера"
"Псевдобелые новые светодиоды стали стабильнее","Японская компания IDEC разработала новый  метод производства псевдобелых светодиодных модулей",f0b8c73b4997e65387c8ca41fc0aba52.txt,,168,"Новые технологии",c9a5964f06c434eb4b4028a1e296f101.jpg,152,"2013-02-25 22:29:09","новые светодиоды"
"Новые способы передачи электроэнергии","Корейцы научились передавать электричество без проводов",5bff3b031d0dca11eb0a09d4feca06ae.txt,,420,"Интересные идеи",6a16934af24b0dbfa70aa6c8b26996cb.jpg,153,"2013-02-25 22:32:48","способы передачи электроэнергии|изобретения николы тесла"
"Солнечные электростанции в Украине: Ekotechnik Czech поможет деньгами ","Чешская группа компаний Ekotechnik Czech планирует вложить 400 миллионов евро в строительство солнечных электростанций в Хмельницкой области.",dda3ca5d7a7c36867981d043a18d3cdc.txt,,350,"Альтернативная энергетика",6db90de419548ccd671dd95146e8ecaf.jpg,154,"2013-02-26 14:14:24","Солнечные электростанции"
"Ветроэнергетика и солнечные электростанции: Харьковские перспективы","В Харьковской области собираются строить ветроэлектростанции",7a57e2a17d0b4692cfc6cadf3863f8f4.txt,,252,"Альтернативная энергетика",918b83cd1a0ab10de1e1bd7c20482b8f.jpg,155,"2013-02-27 11:28:00","Ветроэнергетика|ветроэлектростанции|солнечные электростанции"
"Энергосберегающие светодиодные лампы PARATHOM CLASSIC","Предлагаем Вашему вниманию серию светодиодных ламп освещения PARATHOM CLASSIC. ",d07ac4949cb1f9a62acf0fd976f831b1.txt,,326,"Советы мастеров;Освещение",92dc3cef4aa3ee94b050007c6ef4ba1f.jpg,156,"2013-02-28 00:33:50","светодиодные лампы освещения|энергосберегающие светодиодные лампы"
"Местное освещение в световом зонировании","Световое зонирование: как правильно использовать световое оформление?",6a9fe0c9d43f5f9c5379bc24e9faf701.txt,,498,Дизайн;Освещение,8eea8d82880f6d6549b3a3a8197d4803.jpg,157,"2013-02-28 09:33:43","световое оформление|местное освещение"
"Облэнерго пошли в минус","Американцы продают украинские облэнерго себе в убыток",6a49b46a9dab0e5cb904a9f5d6c85833.txt,,229,"Новости Украины",d0cabe7e0b3e4e80294776ae533d91fa.jpg,158,"2013-02-28 13:19:50",Облэнерго
"В Харькове осветили самый темный проспект","Территорию, прилегающую к Харьковскому национальному университету внутренних дел со стороны проспекта 50 лет СССР, осветили.",f0cf9123a2edc47862f74a311371fb1e.txt,,250,"Новости Украины",03bac4a6c07ed0a3c0ef02133ad426e9.jpg,159,"2013-03-01 10:21:09","Харьковоблэнерго|освещение харьков|Харьковский национальный университет внутренних дел"
"Принцип действия УЗО","Принцип работы УЗО: просто и доступно",b74616a5db5c8a02e1b984dddf25a09b.txt,,882,"Советы мастеров",28678fa98ceeb6d3c6787f6cdba68ccd.jpg,160,"2013-03-03 08:57:07","Принцип действия УЗО|Принцип работы УЗО|Принципиальная схема УЗО"
"Как сделать светодиодную подсветку полок","Сделать светодиодную подсветку полок своими руками: подробные инструкции",9b8f0abdf0c0ce5e55010c23da592219.txt,,5900,"Своими руками",982c88a8d0ec4a173da8fc46cf66b96e.jpg,161,"2013-03-03 10:27:28","подсветка светодиодной лентой|светодиодная подсветка полок|виды светодиодных лент"
"Харьковоблэнерго: продажа акций","Кабмин выставил на продажу акции «Харьковоблэнерго»",330817a363d71ee8618cbc06bad183de.txt,,430,"Новости Украины",99109e2346b75dafc82d0b42d01e8d1d.jpeg,162,"2013-03-04 18:08:11","Продажа Харьковоблэнерго|новости Харьковоблэнерго"
"Типы УЗО и их разновидности","В этой статье мы проведем классификацию видов УЗО по току срабатывания, количеству полюсов, условиям функционирования и технической реализации.",51c6d36eeb479b71a693b806ae271237.txt,,531,"Советы мастеров",3f9e77fa4fc57c4f28965d453cc96669.jpg,163,"2013-03-04 22:35:13","типы узо|виды узо"
"Подключение светодиодной ленты","В данной статье мы рассмотрим схемы подключения светодиодных лент к блоку питания, и типичные ошибки, которые допускают пользователи при монтаже.",2e2f7deb959f0dd41d90c44344578e9c.txt,,2678,"Своими руками",bed467fa464a5e05749395a97416ed41.png,164,"2013-03-04 23:11:13","схема подключения светодиодной ленты|светодиодная лента подключение"
"Цены на электроэнергию в Украине снова растут","Электричество вновь подорожало: тарифы на свет в Украине с 1 марта повышаются",f838a7b91663409048e5ec5d0cd0bd96.txt,,272,"Новости Украины",b18c4af1ed459b142ffa834b21a79969.jpg,165,"2013-03-05 12:12:07","Тарифы свет украина|цена электроэнергии украина"
"Бесплатное электричество для Олимпиады","Дорога на Олимпиаду-2014 будет освещена бесплатным электричеством",daf96ea1ea557f5388521a1ecdb2524a.txt,,169,"Новости мира",f16e8d373112b786767f5612ca6de902.jpg,166,"2013-03-06 17:50:00","бесплатное электричество"
"Подготовка к монтажу светодиодной ленты","В данной статье мы рассмотрим, какие подготовительные работы требуется провести перед монтажом светодиодных лент. ",58c1423e3b8a05d3eedd4193cfcff9be.txt,,1151,"Своими руками",48bcf3bc33682169058fac7074b0707c.jpg,167,"2013-03-06 20:57:08","монтаж светодиодной ленты|установка светодиодной ленты"
"Ограничения использования УЗО: правила электробезопасности","Риск поражения электротоком, аварийные ситуации и правила электробезопасности.",61c8e1b4c0b666f95a7b0e0bbe874cca.txt,,434,"Советы мастеров",594835938dfee3630cab39b66fc2a333.jpg,168,"2013-03-06 21:16:07","поражения электротоком|правила электробезопасности"
"Монтаж светодиодной подсветки","В данной статье будут рассмотрены вопросы, связанные с монтажом светодиодной подсветки.",e31bd1782cce02b50971724e5b5230df.txt,,2036,"Своими руками",9668f0329fed3579f3ed67e5e7007923.jpg,169,"2013-03-11 15:30:15","Монтаж светодиодной подсветки|светодиодная подсветка полок"
"Снег создает проблемы энергетикам","Харьковские энергетики переквалифицируются в лесорубов",64cb2094aa7187c4c20b4aeccdf7c377.txt,,225,"Новости Украины",12df0d6a8a84a5a4e33b7d6622f811cf.jpg,170,"2013-03-11 18:52:03","Харьковоблэнерго|харьковские энергетики"
"Схемы подключения УЗО","В этой статье мы рассмотрим различные схемы подключения УЗО к бытовой электросети и проанализируем распространенные ошибки, которые совершают пользователи п",a3eb98f26f7cdfa01d18e5254bbb58f2.txt,,2332,"Советы мастеров",a876e8ba7418d689c07ced6fb2d9f297.jpg,171,"2013-03-11 19:50:29","схема подключения узо|подключение УЗО"
"Распространенные ошибки пользователей при подключении УЗО","В данной статье мы рассмотрим наиболее распространенные ошибки пользователей при установке УЗО. ",75d7127c37ba3fad8bcd007a0a401785.txt,,1229,"Советы мастеров",71fb8b52f35f1ba128776e9876ac8e1c.jpg,172,"2013-03-12 00:06:43","схемы подключения УЗО|способы подключения УЗО"
"Светодиодная подсветка автомобиля","Как сделать светодиодную подсветку для автомобиля, ванной, сауны?",0336c0a045784a49ee46ebf86c1f394b.txt,,550,"Своими руками",30844db9edd9799e0e330d28a02eb6bd.jpeg,173,"2013-03-12 00:14:23","светодиодная подсветка автомобиля|сделать светодиодную подсветку"
"Зеленая энергия в Германии","В Германии построили полностью энергонезависимый город на зеленой энергии",4325781d91430874f0819d565b652132.txt,,259,"Альтернативная энергетика",02a1425145b1b4c765982269ee1303c6.jpg,174,"2013-03-12 14:08:27","Зеленая энергия|энергия ветра|ветрогенераторы солнечные батареи"
"Круглый стол по энергоэффективности в Харькове","«Реализация стратегии по энергоэффективности в Харьковской области. Проблемы и перспективы» -  круглый стол в облгосадминистрации.",786d1f3ef650794ff7b0204caa45f095.txt,,228,Энергосбережение,32d8d4b86a96f61a80340012a836d295.jpg,175,"2013-03-13 13:50:10","Энергоэффективность|программы энергоэффективности|харьковская обладминистрация"
"Ветроэнергетика в Украине","В Харьковской области построят ветроэнергопарк",c765604b24e3e24e3921ca769d2a2fbb.txt,,186,"Альтернативная энергетика",82122c34fb093cd1cf754e883e1e728f.jpg,177,"2013-03-15 14:23:49",Ветроэнергетика|ветроэнергопарк
"Подсветка полок при помощи «гибкого неона» Led Neon Flex.","В данной статье рассмотрим еще один вариант подсветки при помощи «гибкого неона» Led Neon Flex.",30b1d88ae962be02edd7b1a0278910c6.txt,,1129,"Своими руками",8d8de10d0495778795524a7ce29fb076.jpg,178,"2013-03-15 16:24:25","гибкий неон|Led Neon Flex"
"Как сделать неоновую подсветку? Краткая инструкция","Монтаж «гибкого неона» Led Neon Flex: как сделать неоновую подсветку.",cb633e2f4300ee2d053f2cbfc936eca1.txt,,461,"Своими руками",4a2d3b3ce0d3dcfd62216bfa5c188e30.jpg,179,"2013-03-18 01:35:08","сделать неоновую подсветку"
"Освещение аквариума: как выбрать аквариумные лампы.","Рано или поздно любой начинающий аквариумист сталкивается с проблемой правильного освещения аквариума. ",d639463661db3239ae239ecc11a9dd50.txt,,780,Освещение;Дизайн,8d7bf6deb5e0af8529289685fe0a8801.jpg,180,"2013-03-18 01:47:28","аквариумные лампы|освещение аквариума"
"Новшество в Москве: складные фонари","В Москве устанавливают складывающиеся фонарные столбы, для их обслуживания не требуются подъемники.",9959d31dcde3268c6adbfd74dc86dbf3.txt,,307,"Новости мира",d4cd8c061c362f1e5b60c9e9869e39f8.jpg,181,"2013-03-18 17:47:20","складные фонари|складывающиеся фонарные столбы"
"Жилища, в которых жить невозможно","Современные технологии позволяют воплотить в жизнь  разгул любой бурной фантазии, даже  нелепый дизайн и ужасный интерьер, в которых невозможно жить",847b968eaaa779bd05f71c16564b1dd5.txt,,500,Дизайн,863a239ff3457c3963fe54ea92d84997.jpg,182,"2013-03-19 01:12:39","нелепый дизайн|ужасный интерьер"
"Арабы запустили самую большую солнечную электростанцию на планете","Крупнейшая в мире солнечная электростанция, функционирующая на принципе концентрации солнечного света, официально введена в эксплуатацию в эмирате Абу-Даби.",a58126a56cc6a242780a8160ac7fefd4.txt,,226,"Альтернативная энергетика",1ac7b220785138708958348e87157b56.jpg,183,"2013-03-19 13:15:16","самая большая солнечная электростанция|солнечная энергетика|новости солнечной энергетики"
"Philips объявлен Партнером года","Компания Philips была отмечена за работу в области энергоэффективности  и выдающийся вклад в защиту окружающей среды.",5b60876e97d4499d13db82edfbcead07.txt,,214,"Энергосбережение;Новости мира;Альтернативная энергетика",4e8eb1d74178c16266c5da2399e1e754.png,184,"2013-03-20 14:10:03","Компания Philips|энергоэффективность|Energy Star"
"Типы ламп для освещения аквариумов.","В данной статье буду рассмотрены типы аквариумных ламп, которые в настоящее время используются для подсветки аквариумов.",03a142004816eb18d33c8dc0e0193dd9.txt,,364,Освещение;Дизайн,1d99a8cd4471afc69f009786fa4d0a78.jpg,185,"2013-03-20 23:43:13","аквариумные лампы|освещение аквариума"
"Виды дверных замков","О том, как приобрести надежный замок, на что следует обратить внимание при выборе, мы и поговорим в данной статье. ",80360d81608877cdc79008a6bc920514.txt,,1080,Замки,4814112a42aa06acab513adbc9a1b175.jpg,186,"2013-03-21 00:07:35","виды дверных замков|устройство дверного замка"
"Весенняя строительная выставка в Харькове","28 марта в харьковском Дворце спорта открывается специализированная выставка «Стеновые материалы».",27888c78649519aa5afbe587426caa98.txt,,195,"Новости Украины",f42f514aa0f182e748ad75ccdb5cf807.jpg,187,"2013-03-21 17:10:07","строительная выставка Харьков|выставка стеновые материалы|выставка дворец спорта харьков"
"В Харькове стало светлее всего на 28%","71 тысяча 371 светоточка освещает город Харьков. ",e340d86cbe2e33544c51e9632e54e4e8.txt,,185,"Новости Украины",846e047981345892f7d7a25e3a6f188e.jpg,188,"2013-03-22 10:07:41","освещенность Харькова"
"Люминесцентные лампы аквариумные","В настоящее время люминесцентные лампы аквариумные различных типов практически вытеснили остальные виды источников света.",76655c05dc81c6d7e3220933f7e2d87b.txt,,384,Освещение;Дизайн,a90f63fb0e858d636a6f37563725e47f.png,189,"2013-03-22 18:48:58","аквариумные лампы|освещения аквариумов"
"Харьковские энергетики будут применять самонесущие провода","Стоимость работ по замене самонесущих проводов, как сообщили в «Харьковоблэнерго», составит 22 миллиона грн.",144e33c4636104ac2503b07a6a1d9f79.txt,,225,"Новости Украины",73830d5d5a758e82faaf266104bd4d43.jpg,190,"2013-03-25 11:51:00","Новости Харьковоблэнерго|самонесущие провода"
"Что означает класс замка?","Стойкость к взлому, класс замка и технические требования к дверным замкам.",78f15cdc6da40c5e43c45add71cf6a8e.txt,,441,Замки,2c028a8d1a53cfb11e8940ba148bfa37.jpg,191,"2013-03-25 13:23:57","Стойкость взлома|класс замка"
"Энергосбережение в Украине за 325 миллионов","Правительство Украины выделяет на энергосбережение остатки средств",9c1cbf1ee8ebacf9d9df6c4ee4a017c4.txt,,212,"Новости Украины",59c1f0492843a26430ab57320c261c6c.jpg,192,"2013-03-26 11:40:22",Энергосбережение|энергоэффективность
"Магнитные замки и кодовые замки","Классификация замков по принципу действия: магнитные и кодовые замки",7ad9f70ac30388842f31a1d90d4cd650.txt,,1134,Замки,eab3a85678bf31d8e45f0faf8dd459ec.jpg,193,"2013-03-26 13:14:07","магнитный замок|механический кодовый замок|электронный кодовый замок"
"«Умный подъезд»: харьковская разработка","Конструкторы КП «Харьковгорлифт» разработали систему «Умный подъезд». Такая разработка – первая в Украине.",f24db40d612d494ba4c9c25aa6a94c47.txt,,335,"Новости Украины",3c0671d35171933c2c4a035026c240d6.jpg,194,"2013-03-27 14:36:02","Умный подъезд|Харьковгорлифт"
"Цилиндровый механизм замков","Классификация замков по принципу действия (различные видя цилиндровых механизмов замка)",d2979d5ba10470dcc823438b26d9561a.txt,,812,Замки,551b07fa20e48325cde230d2546ad713.jpg,195,"2013-03-27 14:50:55","цилиндровый механизм замков|замки врезные цилиндровые"
"Как заработать на переменах погоды?","На мартовской стихии кое-кто хорошо заработал",23f8b97974814ca63e456ccb7b769ae0.txt,,237,"Альтернативная энергетика",0a832e9d75b39056c6a67c7f5370b314.jpg,196,"2013-03-28 16:28:01",Ветроэнергетика|ветрогенераторы
"Светящийся кремний: новости нанотехнологий","Американцы заставили обычный кремний излучать видимый свет",7ec3f70618b8538188d8ef1c085d7b36.txt,,438,"Новые технологии",e1709809ecd47250b20cf3bd07b726ac.jpg,197,"2013-03-29 15:43:44","Светящийся кремний|новости нанотехнологий|нанопровода"
"Новый котел КБМУ-1 дает КПД 98% и электроэнергию","Одна харьковская котельная снабжает электричеством другие котельные",a4a2f8fc23e9e1dfc134df2847ec87e3.txt,,318,"Новости Украины",dd02801d74782f6775151b2d0c6aaab5.jpg,198,"2013-03-29 17:10:22","котел КБМУ-1|харьковские тепловые сети|экономичный котел|котел высокого кпд"
"«Умные подъезды» скоро будут в Харькове","«Умные подъезды» в Харькове: известно где, но неизвестно, когда",550478c40647ee25184ad510d67fa713.txt,,254,"Новости Украины",ca5c698185b9bbfd79b85e68d1bce09b.jpg,199,"2013-03-30 14:28:57","Умный подъезд|Харьковгорлифт|Анатолий Кандауров"
